form,rtol,N,a1,a2,omega1,omega2,phi1,phi2,square,chi,gamma,triangle,alpha,tilde,star,beta,rho,epsilon,delta
DS-p,1e-11,51,35.0,35.0,7.8,15.6,0.0,0.7853981633974483,(0.014172828444916748+0.000103151893312699j),(0.011472060082559672-4.1276392349688145e-11j),(0.3218924884650864+0.000706219734056787j),(-0.005876693087937581-0.016624283208229153j),(0.0033040833055833934-2.528416357565408e-10j),(-0.18994870806071398+0.023710136276450293j),(-0.006463263476641283+0.011265784238924948j),(-0.018832514482372848-3.038331205821009e-10j),(0.0054456395946765965+0.08052377299305301j),(-0.024961881845169048+0.04497159728808477j),(0.007450170312870702-1.5547326216089763e-11j)
DS-p,1e-11,51,35.0,35.0,7.9,15.8,0.0,0.7853981633974483,(0.010045084915474456+9.981377441634273e-05j),(0.008947189882709901-4.4270795597272113e-11j),(0.3346980670664728+0.00100536465056151j),(-0.006936222019460275-0.016814500068277498j),(0.004102856968974981-2.371324269900571e-10j),(-0.20325023853874266+0.033805468144074875j),(-0.007756000397938115+0.010838434686402474j),(-0.018658314418318108-2.8326917352940847e-10j),(0.003802748824660393+0.09636104183540636j),(-0.02519933600830939+0.044459676123598905j),(0.00885318716714505-1.5193975720097803e-11j)
DS-p,1e-11,51,35.0,35.0,8.0,16.0,0.0,0.7853981633974483,(0.005946365346688042+9.402037878453738e-05j),(0.006219177920707136-4.615967431712632e-11j),(0.3462854262003995+0.0012854249601928765j),(-0.00770422384279176-0.017064359870116366j),(0.005255160098639243-2.2546692500578114e-10j),(-0.21584757848060482+0.04450864770652896j),(-0.009020763822893463+0.01035057722789874j),(-0.01860463830422059-2.642489276892591e-10j),(0.0015676527727130794+0.11188447981034541j),(-0.025422764167192857+0.043925350943905865j),(0.010221571826131749-1.5075895330393643e-11j)
DS-p,1e-11,51,35.0,35.0,8.1,16.2,0.0,0.7853981633974483,(0.0018926944437839398+8.614816633137836e-05j),(0.0033329238358557845-4.573103095803647e-11j),(0.35668291583659373+0.001544637889780217j),(-0.008202019596581598-0.01739332178648896j),(0.006735505307429425-2.0985415325185408e-10j),(-0.22768677248906172+0.055705309371389164j),(-0.010257786532165193+0.009809293608326164j),(-0.01868538730854455-2.4036087638681793e-10j),(-0.0012197944913955915+0.1270734523091374j),(-0.025631299035553577+0.04337179351003499j),(0.011552130607813254-1.514783402686409e-11j)
DS-p,1e-11,51,35.0,35.0,8.2,16.4,0.0,0.7853981633974483,(-0.0021019322026397187+7.655383885750776e-05j),(0.000331225462197173-4.6213635289547296e-11j),(0.36592245042674953+0.001781700848360568j),(-0.008453950188207137-0.01781566581917198j),(0.0085155211414453-2.0335930803849292e-10j),(-0.2387286938343759+0.0672851294806353j),(-0.01146725861239211+0.00922142199972596j),(-0.018910406132537527-2.2698844414755213e-10j),(-0.0045207630237252645+0.141911116741373j),(-0.025824308086155302+0.04280198781060894j),(0.012842308350091772-1.6080941057179126e-11j)
DS-p,1e-11,51,35.0,35.0,8.3,16.6,0.0,0.7853981633974483,(-0.006025393180300301+6.557127799401683e-05j),(-0.0027456925164440287-4.614986560111223e-11j),(0.37403892621354506+0.0019957389677627588j),(-0.008486250544127886-0.018340810596092796j),(0.010564736294678469-1.9481386379921023e-10j),(-0.2489475271931682+0.079142929256207j),(-0.01264932991379657+0.008593518882739312j),(-0.019285717770123337-2.126540923470422e-10j),(-0.008297647244884958+0.15638410035605288j),(-0.026001368048509298+0.042218718402992954j),(0.01409011970227852-1.7672599958728903e-11j)
DS-p,1e-11,51,35.0,35.0,8.4,16.8,0.0,0.7853981633974483,(-0.009867293807804295+5.350929192403476e-05j),(-0.005860515639721607-4.552636501351633e-11j),(0.38106968159401955+0.002186268042161186j),(-0.008326079112060646-0.018973732925768445j),(0.012851298138918417-1.8526442176052593e-10j),(-0.25832928235746405+0.0911795139851801j),(-0.013804115303090449+0.007931827973041837j),(-0.01981382578345391-1.9744796143139124e-10j),(-0.012514224406025261+0.17048217900620694j),(-0.026162239855882025+0.041624563870956144j),(0.015294084224005655-1.9822492020916964e-11j)
DS-p,1e-11,51,35.0,35.0,8.5,17.0,0.0,0.7853981633974483,(-0.013618825708253034+4.065021371836401e-05j),(-0.00897906089762352-4.513783092400895e-11j),(0.3870539986863925+0.0023531545368302652j),(-0.008000702062921933-0.019715453207857277j),(0.015342620321290898-1.7515496037956959e-10j),(-0.2668703596941474+0.1033022795765156j),(-0.014931701406824194+0.007242255917083548j),(-0.020494062397653487-1.8380210965777438e-10j),(-0.0171357741451949+0.1841979619849124j),(-0.026306844509342505+0.04102189466982676j),(0.016453165726102892-2.2435854537449074e-11j)
DS-p,1e-11,51,35.0,35.0,8.6,17.2,0.0,0.7853981633974483,(-0.0172726330376127+2.724927650835202e-05j),(-0.01207039944184363-4.474575145837718e-11j),(0.39203264432010276+0.002496574202054765j),(-0.00753682602038123-0.020563556796718854j),(0.018005956697628722-1.6579928451049773e-10j),(-0.27457618351980706+0.11542561624969487j),(-0.0160321541390221+0.006530354313182232j),(-0.02132296366731741-1.7277388228991193e-10j),(-0.022129163133616396+0.19752658753734806j),(-0.026435240179307946+0.04041287465822394j),(0.017566716122225087-2.5210992873425062e-11j)
DS-p,1e-11,51,35.0,35.0,8.7,17.4,0.0,0.7853981633974483,(-0.020822685135665372+1.3534547712702483e-05j),(-0.015106896939039369-4.4239078574760333e-11j),(0.3960474493709757+0.0026169705398908084j),(-0.006960069312901427-0.02151272678944258j),(0.020808900876642507-1.5484020758081668e-10j),(-0.2814599150455756+0.12747113750207864j),(-0.01710552628613192+0.005801307784574193j),(-0.02229465617433789-1.5990158827897245e-10j),(-0.027462898447483706+0.21046543256052425j),(-0.026547601028533662+0.03979946602718074j),(0.01863442387958901-2.7865626935445467e-11j)
