form,rtol,a1,a2,omega1,omega2,phi,N,square,chi,gamma,triangle,alpha,tilde,star,beta,rho,epsilon,delta
DS-p,1.0000000000000001e-11,35.0,35.0,18.9,37.8,1.5707963267948966,51,(-3.4631313333526037e-10+1.3000714090341536e-10j),(1.0090325558605173e-10-3.3750615193733124e-11j),(0.09068948383657488-0.2930986242787032j),(-1.0237615000532885e-09-1.8884067833763174e-10j),(-2.260678753571166e-11-1.204843110503737e-10j),(-0.3527488240875922+0.03313056944313539j),(-1.3236114634884721e-10-8.533969537982689e-11j),(-9.207962170521e-11-5.687877256750192e-11j),(-0.4779918537268843+0.6370703873533732j),(-2.483068056724491e-10-3.095329756397369e-10j),(4.5525958003445055e-11-4.291629768541142e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,19.0,38.0,1.5707963267948966,51,(-3.490785999019433e-10+1.3879868868832412e-10j),(1.0277374350858848e-10-3.421467214084732e-11j),(0.08937314526389092-0.29942600773343847j),(-1.0327166017959008e-09-1.6485424657319836e-10j),(-2.0480029998271032e-11-1.2073223494622694e-10j),(-0.35369725288163845+0.03748436161797201j),(-1.2867487457490778e-10-8.453981785450093e-11j),(-8.908981191657617e-11-5.6743784750965654e-11j),(-0.48236105981246774+0.6363150662142671j),(-2.3359590650695594e-10-3.070385265480091e-10j),(4.998379488085902e-11-4.25592101816395e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,19.1,38.2,1.5707963267948966,51,(-3.5465530046161625e-10+1.3876133488771591e-10j),(1.0559384876901445e-10-3.411540968800234e-11j),(0.08795730554509246-0.30568976055910646j),(-1.039401179817219e-09-1.436798865647737e-10j),(-2.2203635631490304e-11-1.1806377294797052e-10j),(-0.3547001802307464+0.04179418529447407j),(-1.244844193004635e-10-7.95366671829667e-11j),(-9.224912500549465e-11-5.619396454785494e-11j),(-0.48668282366164267+0.6355344463022629j),(-2.5196821365480737e-10-3.121429573149648e-10j),(4.233940975595374e-11-4.2730277975912116e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,19.2,38.4,1.5707963267948966,51,(-3.653341980065089e-10+1.3959268246530043e-10j),(1.0546220288124714e-10-3.433915425528372e-11j),(0.08644498169172193-0.31188892196031365j),(-1.060516933819311e-09-1.2250860135371022e-10j),(-2.4314688717302912e-11-1.1650416652245275e-10j),(-0.35575592686561347+0.04605958288146401j),(-1.1762227389994218e-10-7.35565375969971e-11j),(-1.0280329365564e-10-5.624242112664146e-11j),(-0.49095763730653563+0.6347294449880698j),(-2.4849653584846365e-10-3.2603228450334143e-10j),(5.4200435806173175e-11-4.3196546331712176e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,19.3,38.6,1.5707963267948966,51,(-3.6737918284769633e-10+1.410193142814542e-10j),(1.0705910062549368e-10-3.4269824261799294e-11j),(0.08483913612493701-0.3180226221897714j),(-1.0554178831887959e-09-9.937010936322821e-11j),(-2.377599462796698e-11-1.1481362469182275e-10j),(-0.35686284323556416+0.050280148385513174j),(-1.1291746270652991e-10-7.141266050725292e-11j),(-9.889756374947822e-11-5.537892377914631e-11j),(-0.4951859937178519+0.6339009519392313j),(-2.451536820768929e-10-3.2019829843132896e-10j),(4.997180447219307e-11-4.277753812890286e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,19.4,38.8,1.5707963267948966,51,(-3.7288120030912197e-10+1.420492677477181e-10j),(1.0984109271010983e-10-3.455299607094583e-11j),(0.08314267642042449-0.32409007833724013j),(-1.0583279724590486e-09-7.831521195433844e-11j),(-2.377280273677118e-11-1.1355630077003859e-10j),(-0.35801930976797075+0.0544555248633529j),(-1.0658624156889562e-10-6.904017114950367e-11j),(-9.597644901049307e-11-5.502564553497942e-11j),(-0.49936838640369186+0.6330498298832801j),(-2.3236014154437434e-10-3.173240628595586e-10j),(5.0802723139398154e-11-4.243599323610505e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,19.5,39.0,1.5707963267948966,51,(-3.815503498002734e-10+1.4429949162647615e-10j),(1.1089422555145972e-10-3.480923251380814e-11j),(0.08135845502797413-0.3300905903129362j),(-1.07111819067085e-09-5.644863569631564e-11j),(-2.4127951372965306e-11-1.1253248333444828e-10j),(-0.35922373710340727+0.058585402117081686j),(-1.0234705097311725e-10-6.570881859457867e-11j),(-9.748573476242584e-11-5.4967597648469935e-11j),(-0.50350530897145+0.6321769154690373j),(-2.4447527682824877e-10-3.219156399780765e-10j),(4.781058882130651e-11-4.275842039323781e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,19.6,39.2,1.5707963267948966,51,(-3.792121155933234e-10+1.5014766600179863e-10j),(1.1055452592886178e-10-3.5111435514935296e-11j),(0.07948926911962899-0.33602353689066733j),(-1.0658955718382233e-09-3.547909535606131e-11j),(-2.443341145727529e-11-1.1214441068913462e-10j),(-0.3604745662050488+0.06266951440514512j),(-1.0209925439819134e-10-6.443419235668824e-11j),(-9.995110294980236e-11-5.459637117455184e-11j),(-0.507597254742454+0.6312830200248039j),(-2.408016147592562e-10-3.062704534428917e-10j),(4.1345246670765334e-11-4.24149672142901e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,19.7,39.4,1.5707963267948966,51,(-3.8291417779612313e-10+1.4981204818353966e-10j),(1.0721194917094612e-10-3.508174508056176e-11j),(0.0775378605424024-0.34188837194751903j),(-1.0628130500786766e-09-9.210023368955156e-12j),(-2.0886516908374952e-11-1.1029491882675603e-10j),(-0.36177026844451765+0.06670763827312956j),(-9.596986920434869e-11-6.410453938510141e-11j),(-9.515773585766496e-11-5.4004753921511616e-11j),(-0.5116447163439017+0.6303689302488065j),(-2.4841823736965196e-10-3.045392965583815e-10j),(3.821348792953927e-11-4.224720739423743e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,19.8,39.6,1.5707963267948966,51,(-3.9603114591977434e-10+1.5444953649357274e-10j),(1.0957435740005517e-10-3.551895496051084e-11j),(0.07550691591815535-0.3476846208852542j),(-1.07912601407913e-09+1.2769106952359444e-11j),(-2.0037011112805647e-11-1.1026470790800098e-10j),(-0.3631093456378163+0.07069959041812247j),(-9.101713480119678e-11-6.132311325401929e-11j),(-9.751702223503855e-11-5.39625718370806e-11j),(-0.5156481854277118+0.6294354090360492j),(-2.503421428490249e-10-2.991537781382725e-10j),(3.374513168896698e-11-4.229957144773789e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,19.9,39.8,1.5707963267948966,51,(-4.087758899819563e-10+1.545193088065e-10j),(1.128206575471552e-10-3.579134710719711e-11j),(0.0733990666757827-0.35341187710028293j),(-1.0930778833207486e-09+3.2002269757802626e-11j),(-2.0504758047740212e-11-1.088719392804507e-10j),(-0.3644903299950761+0.07464522573497397j),(-8.291693460310556e-11-6.205569218209472e-11j),(-8.530386119698363e-11-5.398068244377939e-11j),(-0.5196081522912005+0.6284831961214651j),(-2.473093778376789e-10-3.2046556380782576e-10j),(4.485911642149176e-11-4.252010377797517e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,20.0,40.0,1.5707963267948966,51,(-4.3377920136075665e-10+1.5385466642023338e-10j),(1.1404632837067052e-10-3.657531044121884e-11j),(0.07121688936190983-0.35906979872022504j),(-1.1044818288441114e-09+5.364947201769166e-11j),(-1.5614210011755114e-11-1.133089067990663e-10j),(-0.36591178409407177+0.07854443532574248j),(-8.816098111957826e-11-6.484426710862135e-11j),(-8.774167503666774e-11-5.425901983188049e-11j),(-0.5235251056005499+0.6275130087810032j),(-2.408731547554055e-10-3.2635060626118317e-10j),(5.014470783049063e-11-4.306551036257762e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,3.7,7.4,0.0,51,(-0.08749338685251126-1.3948735152976483e-10j),(-0.03805893439403958-5.3425737532923884e-11j),(0.18091934612618285-2.833919399719862e-10j),(0.008101915252316131-7.144980614504244e-10j),(0.046376244885913014-2.1091645971829375e-10j),(-0.22637449679519006+3.593822817941142e-11j),(-0.0062167507456747945+2.0141828130405678e-10j),(-0.02048982707039305-2.1109088176703546e-10j),(0.2384934406982099-4.7343498918273275e-11j),(0.023300223588258902-7.790207862443852e-11j),(0.01639553460763362-2.939117926666609e-11j)
