form,rtol,N,a1,a2,omega1,omega multiplier,phi1,phi offset,square,chi,gamma,triangle,alpha,tilde,star,beta,rho,epsilon,delta
DS-p,1e-11,51,35.0,35.0,6.7,2.0,1.5707963267948966,0.7853981633974483,(0.0013662998608035457+0.0005463095702113985j),(6.995700106573963e-05-2.6180061709304396e-11j),(0.060914014721084826-0.07445923691440172j),(-0.033697152803501274-0.008142374489353217j),(0.03838840867354203-4.687902457551545e-10j),(0.0029369511433880594+0.025835509581051238j),(0.016476545950566964-0.020290157460430752j),(-0.046940360900326855-3.829637689385957e-10j),(-0.027262679274307776-0.09832576247201225j),(0.02124821067709579-0.04863467683583132j),(0.008127749022447218-2.1591044823251574e-11j)
DS-p,1e-11,51,35.0,35.0,6.8,2.0,1.5707963267948966,0.7853981633974483,(0.0013763412156440875+0.0005034064667562483j),(9.83055353500332e-05-2.574568435814524e-11j),(0.06635098566130314-0.10220956000284291j),(-0.034353515309376983-0.0031183181969648395j),(0.04018118281968152-4.56646270594531e-10j),(0.005241319470088778+0.03818109187715199j),(0.017871561193776638-0.017037379510570733j),(-0.04742707438047318-3.91961939569247e-10j),(-0.02011468409893656-0.08166818877823744j),(0.02160257289154599-0.048557977051372825j),(0.006783755616992494-2.067476850467318e-11j)
DS-p,1e-11,51,35.0,35.0,6.9,2.0,1.5707963267948966,0.7853981633974483,(0.001360653545634604+0.0004500355535098096j),(0.00012579883951266651-2.4907218689022284e-11j),(0.06768246897898707-0.1300119874927323j),(-0.03423772447154709+0.0017827602664261697j),(0.041164191392761194-4.4416161720646313e-10j),(0.0056502479625677665+0.051852858067858304j),(0.019067542571280537-0.013784249814439731j),(-0.047044417764452305-3.962603321252247e-10j),(-0.013955151842102548-0.06485143863233811j),(0.021970218636167875-0.048408690095464064j),(0.005382562490127588-1.991614846809363e-11j)
DS-p,1e-11,51,35.0,35.0,7.0,2.0,1.5707963267948966,0.7853981633974483,(0.0013218204799759362+0.00038869230062210343j),(0.00015201742375970414-2.3712467991662534e-11j),(0.06513848650004446-0.1572786252975733j),(-0.033423028605736704+0.0064571058522764156j),(0.04134718646073145-4.25988566916201e-10j),(0.0040918744224805355+0.06643384357347484j),(0.020069788105567067-0.010547369176528177j),(-0.04581701253447784-3.988198046041338e-10j),(-0.008750978717039871-0.04795229573183257j),(0.02234438925660468-0.048195176627255754j),(0.003939404662468091-1.8831083716059017e-11j)
DS-p,1e-11,51,35.0,35.0,7.1,2.0,1.5707963267948966,0.7853981633974483,(0.0012627876591606124+0.0003217385338713192j),(0.00017662824612746982-2.3638632254996306e-11j),(0.05901171940286358-0.18350255845271704j),(-0.03199087336676818+0.010821093602969964j),(0.04076296273363077-4.0746660306006373e-10j),(0.0005553344652734461+0.08153332395872578j),(0.020884379244115774-0.007341682080816352j),(-0.043790805492570126-4.0732804069793213e-10j),(-0.00446634942059738-0.03103875258857596j),(0.02271939798532318-0.047925221930187535j),(0.0024676689926958-1.7875124837003198e-11j)
DS-p,1e-11,51,35.0,35.0,7.2,2.0,1.5707963267948966,0.7853981633974483,(0.0011866795750488355+0.0002513410437013181j),(0.00019937799404112438-2.4059907062351485e-11j),(0.04964006033844997-0.20825785446328252j),(-0.0300270534765897+0.014810149192401376j),(0.039462238848085696-3.7975037652294805e-10j),(-0.00491851692725333+0.09679331071700138j),(0.021518100827097684-0.004180620702650645j),(-0.04102808992326825-4.116162327300084e-10j),(-0.0010633818776961221-0.01417072347262399j),(0.023090527298543106-0.04760596424675345j),(0.0009790584662031539-1.669543825996038e-11j)
DS-p,1e-11,51,35.0,35.0,7.3,2.0,1.5707963267948966,0.7853981633974483,(0.0010966528918148065+0.00017943341755488357j),(0.00022008520580030864-2.5815653650984217e-11j),(0.037391313329244065-0.23119728398407255j),(-0.027618533768444836+0.01837726872166627j),(0.037508983760508006-2.801161927373235e-10j),(-0.012246126170838522+0.11189278711196735j),(0.021978365443138977-0.0010762228000981717j),(-0.037602971604365765-3.137134100943081e-10j),(0.001497292963916092+0.0025992706642070738j),(0.023453920683039073-0.04724386361319379j),(-0.0005162453176099681-3.284851405974017e-11j)
DS-p,1e-11,51,35.0,35.0,7.4,2.0,1.5707963267948966,0.7853981633974483,(0.0009957829457220128+0.00010769788228421766j),(0.00023863199709774085-2.8447639732288857e-11j),(0.022650020947861078-0.25204835327409364j),(-0.024850893011203655+0.02149128890942047j),(0.03497625739145664-3.282544953637607e-10j),(-0.0213097738823113+0.1265500667520493j),(0.02227313851609803+0.0019607724097554717j),(-0.03359735481398719-3.1620627271387083e-10j),(0.003256021791658753+0.019225446916398815j),(0.02380647522408482-0.04684470235997331j),(-0.0020094247163952514-2.6279946457209055e-11j)
DS-p,1e-11,51,35.0,35.0,7.5,2.0,1.5707963267948966,0.7853981633974483,(0.0008869802121891994+3.7559055212320614e-05j),(0.00025495575279005177-3.091107300733183e-11j),(0.005806331566505036-0.2706081440558239j),(-0.02180633139031465+0.024135027414704805j),(0.031942610781413895-3.1222948461662825e-10j),(-0.03196546478577513+0.14052361804025232j),(0.022410863347410458+0.004920844337995786j),(-0.02909745935335669-3.355908853688782e-10j),(0.004253652059060268+0.035668140722039186j),(0.024145738257448895-0.04641360851028901j),(-0.003492881984216878-1.945755074597057e-11j)
DS-p,1e-11,51,35.0,35.0,7.6,2.0,1.5707963267948966,0.7853981633974483,(0.0007729312308037535-2.9808938807133012e-05j),(0.00026904117515592316-3.533133011986271e-11j),(-0.012753224009323735-0.2867373662799448j),(-0.018562177187039754+0.026303386282838806j),(0.02848902517035326-2.893002090579111e-10j),(-0.044050081411238444+0.1536116726896306j),(0.02240037686146992+0.00779563030536769j),(-0.0241908902329312-3.3244375465239195e-10j),(0.004531140142102325+0.051893226477798225j),(0.024469811852850597-0.045955095860715174j),(-0.004960103294571586-1.8171252106661553e-11j)
DS-p,1e-11,51,35.0,35.0,7.7,2.0,1.5707963267948966,0.7853981633974483,(0.000656061392518119-9.346882734144672e-05j),(0.0002809127897323261-3.9904340603077316e-11j),(-0.032653203345193255-0.300353954329058j),(-0.01518982596875735+0.028001488121325194j),(0.02469638552682732-2.668584853678492e-10j),(-0.05738775228983484+0.16565088280080806j),(0.022250833325859472+0.010577870037657994j),(-0.018964224074561737-3.1822467513930735e-10j),(0.004129195774632489+0.06787156563670321j),(0.024777266380171557-0.045473113630298496j),(-0.006405535797776366-1.711745475915552e-11j)
DS-p,1e-11,51,35.0,35.0,7.8,2.0,1.5707963267948966,0.7853981633974483,(0.0005385147467779208-0.00015270197286688274j),(0.0002906280213497186-4.287038472328961e-11j),(-0.053535139795012544-0.3114264688507718j),(-0.011754048230984243+0.029242895813231157j),(0.020643448749378374-2.4323497391418165e-10j),(-0.07179542267329385+0.17651426906246023j),(0.021971618166611716+0.013261356147979382j),(-0.013501076476087632-2.958127306200727e-10j),(0.003087979269193451+0.0835785004351153j),(0.02506706378125232-0.04497110224957318j),(-0.007824477788896729-1.6087574467170143e-11j)
DS-p,1e-11,51,35.0,35.0,7.9,2.0,1.5707963267948966,0.7853981633974483,(0.00042214728064761175-0.00020698690263820668j),(0.00029827085051422193-4.5067351339857735e-11j),(-0.07506202040260382-0.31996751152350195j),(-0.008312604696754447+0.03004795096266614j),(0.01640526012580162-2.2422823448226045e-10j),(-0.08708763918397994+0.18610865752865685j),(0.021572264585577573+0.015840888898722056j),(-0.007880611388469187-2.717811270017625e-10j),(0.0014468489283044747+0.09899338181115479j),(0.02533849057584717-0.04445205075405809j),(-0.009212979764938862-1.521256238985889e-11j)
DS-p,1e-11,51,35.0,35.0,8.0,2.0,1.5707963267948966,0.7853981633974483,(0.00030853102903035236-0.0002559765163130291j),(0.0003039460997387611-4.758992152260054e-11j),(-0.09692152620717728-0.3260273119519078j),(-0.004916113436513467+0.030442253705516314j),(0.012051971010052428-2.1649411938837412e-10j),(-0.1030805806205256+0.1943717761100609j),(0.02106237088293372+0.018312230888764172j),(-0.002176441625545279-2.570504755764243e-10j),(-0.0007558470622263315+0.11409913490365535j),(0.02559110036362254-0.043918553501994445j),(-0.010567756451118595-1.4958670224577185e-11j)
DS-p,1e-11,51,35.0,35.0,8.1,2.0,1.5707963267948966,0.7853981633974483,(0.000198965635784101-0.0002994751957682151j),(0.00030777429310401396-4.8112572465279505e-11j),(-0.11882820038064278-0.3296876062598697j),(-0.0016081186498176263+0.030455296773416615j),(0.007648006908769974-2.0660237934381928e-10j),(-0.11959537979115435+0.201269151588863j),(0.020451520527247784+0.02067206059916175j),(0.003544129091406631-2.406985347011125e-10j),(-0.0034829370217947997+0.12888186069304455j),(0.0258246650671624-0.04337286396606797j),(-0.011886108751174154-1.5270931298052333e-11j)
DS-p,1e-11,51,35.0,35.0,8.2,2.0,1.5707963267948966,0.7853981633974483,(9.44955245254336e-05-0.00033741650893890686j),(0.0003098871061512887-4.888491498931981e-11j),(-0.1405247009338149-0.331055893701776j),(0.0015746834675653182+0.030119258914607365j),(0.0032515361121339065-1.9978967881450854e-10j),(-0.13646079033778308+0.20679092271281194j),(0.01974920635632161+0.02291792377515066j),(0.009220571576039305-2.260423922556839e-10j),(-0.006698554380753896+0.14333047271515312j),(0.026039133938024494-0.042816944421043474j),(-0.013165854613666886-1.6092520540152398e-11j)
DS-p,1e-11,51,35.0,35.0,8.3,2.0,1.5707963267948966,0.7853981633974483,(-4.069331060755626e-06-0.00036984212572713644j),(0.000310423384349166-4.793973257481908e-11j),(-0.16178228383900206-0.3302601301699741j),(0.004602100656797139+0.029467956602523975j),(-0.0010858089545006506-1.8906062930251444e-10j),(-0.15351525811639302+0.21094866243852067j),(0.0189647603052559+0.025048182153502192j),(0.014799351062225553-2.0921963293301118e-10j),(-0.010368232340484259+0.15743636745254372j),(0.026234599544395776-0.042252510736618815j),(-0.014405267851662767-1.7196316009623076e-11j)
