"form","rtol","a","omega","phi","N","hopping","onsite","next onsite","NNN","NNN overtop"
"Linear-m","",30,4.7,0.7853981633974483,51,-0.04743184226812709+0.23541996411180466*I,-0.000016270259637143902+0.000040029704927421*I,6.610677425732039*^-6+0.00004109422567579812*I,-0.000968627569126464+0.0022802837895061333*I,-0.0009341798699395057+0.0022269715812254657*I
"Linear-m","",30,5.7,0.7853981633974483,51,0.07413478803743964-0.0484996356416051*I,0.000010504296095307987+0.00003919880881746383*I,0.000018481662032511373+0.00003948883986850601*I,-0.002237185325456222-0.001006000341658625*I,-0.0021963862171392743-0.0009578190423226757*I
"Linear-m","",30,6.7,0.7853981633974483,51,0.3255309013207938-0.007942518341383306*I,0.00003093995096403561+0.0000412863030355874*I,0.000019778205613635302+0.000040797334708653374*I,-0.00009056574533503146-0.0023513292110069845*I,-0.00011354573867310234-0.0023051408150296378*I
"Linear-m","",30,7.7,0.7853981633974483,51,0.37222317090284424+0.15157868407187186*I,0.00006040731150333705+0.000039419535496997944*I,0.00003789139084285284+0.00003893845785996737*I,0.00165019932121676-0.0016865383250380128*I,0.0015908978206591248-0.0016286869061328535*I
"Linear-m","",30,8.7,0.7853981633974483,51,0.28405243662931307+0.24086336834983674*I,4.2912666849251935*^-6+0.000040222719857801246*I,0.000052897413130423634+0.00003975655951365425*I,0.002310813363557858-0.0003734533365275986*I,0.0022517825122623934-0.00037379328972820397*I
"Linear-m","",30,9.7,0.7853981633974483,51,0.16750543813137586+0.236572168609485*I,0.0000618964060114073+0.000040250450472546156*I,0.0000155271666153773+0.000040835201266234105*I,0.0021384285113537098+0.0007719883867331055*I,0.002092131117275684+0.0007360168494290166*I
"Linear-m","",30,10.7,0.7853981633974483,51,0.07467404840700112+0.17098150408313337*I,0.00004245583464090874+0.000038858145163434536*I,0.000032125538965929214+0.000039203351161642195*I,0.0016308443596801127+0.001507537857223696*I,0.0015770252212108276+0.0014616187807083253*I
"Linear-m","",30,11.7,0.7853981633974483,51,0.019149761509624105+0.07744695455518*I,0.00003949415856998673+0.00003875453373991952*I,0.00003743032626245973+0.00003899467920841073*I,0.0010201814534248786+0.0019396191068575415*I,0.0009884854461560274+0.00188135047088986*I
"Linear-m","",30,12.7,0.7853981633974483,51,-0.0022298167413185013-0.022430435302280827*I,0.000022542449267017372+0.00003768303946405575*I,-7.76934345178722*^-6+0.0000379131965263053*I,0.000428280038409989+0.002062864026496401*I,0.00041339360795980643+0.0020206915815925855*I
"Linear-m","",30,13.7,0.7853981633974483,51,0.0026108855676058814-0.11606547145259226*I,0.000024392572428965156+0.00003720942491586339*I,0.000017289931729833454+0.0000372805592217751*I,-0.00008684213538304175+0.0020691387403455716*I,-0.00009087916125750809+0.002026234258661247*I
"Linear-m","",30,14.7,0.7853981633974483,51,0.025545090390727925-0.1987955413262876*I,0.000026733666070480017+0.000037297971614069723*I,-6.300210710488002*^-6+0.00003737181114097278*I,-0.0005175831103154716+0.001987592783433417*I,-0.0005105969024704962+0.0019592823854495205*I
"Linear-m","",30,15.7,0.7853981633974483,51,0.06004766149257368-0.26891378496928753*I,0.00001061019082012219+0.00003782702054158991*I,-8.275885403081877*^-6+0.00003769399695957166*I,-0.0008448223909616799+0.0018030801833841636*I,-0.0008390873016225287+0.0017870026821208184*I
"Linear-m","",30,16.7,0.7853981633974483,51,0.10128181613001352-0.32674121118894417*I,1.8635738970745219*^-6+0.00003777733742322554*I,3.921994656772357*^-6+0.00003776788368665841*I,-0.001095547253192481+0.0015977227200865353*I,-0.0010898910224291705+0.001589733267588351*I
"Linear-m","",30,17.7,0.7853981633974483,51,0.1458548772902684-0.37344929602821847*I,6.96423069746231*^-6+0.00003722970137037505*I,1.3114669698919418*^-6+0.00003720383787657802*I,-0.0012426853261296004+0.001348456502889919*I,-0.0012405188731649912+0.0013463312887768628*I
"Linear-m","",30,18.7,0.7853981633974483,51,0.19146818317134923-0.41050357844438184*I,2.6457752142271067*^-6+0.00003746339464424288*I,6.9558560789623886*^-6+0.00003743021911119926*I,-0.0013795353739000549+0.0011574688973831784*I,-0.0013759407722355576+0.0011545374356963112*I
"Linear-m","",30,19.7,0.7853981633974483,51,0.23662384022201752-0.43937997132969014*I,8.822319198382615*^-6+0.00003702424298715964*I,-0.00001363772233846372+0.00003698146572711471*I,-0.0013804711685970346+0.0009105267361861657*I,-0.001375331826251519+0.0009069352619958618*I
"Linear-m","",30,3.7,1.0471975511965976,51,0.10764596831450293-0.09794520149715616*I,-0.00007093287973690247+0.00004003842573235456*I,0.000016127988797198962+0.00003867214013940984*I,-0.0025393395173730427-0.00025222247909356807*I,-0.0024332957677162055-0.00022520928958288293*I
"Linear-m","",30,4.7,1.0471975511965976,51,0.17484311237155456+0.16465333278131364*I,0.000023441553823574587+0.000037362784472562104*I,-0.000023058023739340634+0.00003922898349346238*I,0.002506540895912362-0.0001489679538321585*I,0.0024042821238460807-0.00014262924197522286*I
