"form","a","omega","phi","N","hopping","onsite","next onsite","NNN","NNN overtop"
"OSC-mathematica",35,10.299999999999978,1.0471975511965976,51,0.3580625064150771-0.07062959870617251*I,0.007995062596330064-1.0045051930272993*^-7*I,-0.004241479445633838-2.492089915464069*^-8*I,0.01154174676549435+0.029884017469192378*I,-0.004241479445635389-1.0077212639156027*^-8*I
"OSC-mathematica",35,10.399999999999977,1.0471975511965976,51,0.35011420023244677-0.07966302907291667*I,0.005497635494844284-1.9830116290260601*^-7*I,-0.0029743244263022335-3.4810460695701564*^-8*I,0.010811294024786195+0.030054867041587784*I,-0.0029743244262847718-1.9109472768465047*^-8*I
"OSC-mathematica",35,10.499999999999977,1.0471975511965976,51,0.34167886842189193-0.08801752537543509*I,0.0031577858475990844-1.644201082518942*^-7*I,-0.0017887533321234196-3.164309178584171*^-9*I,0.010133910807277399+0.03024645410497145*I,-0.0017887533321555397+1.2438917842777836*^-8*I
"OSC-mathematica",35,10.599999999999977,1.0471975511965976,51,0.33281530780159335-0.09568636211357354*I,0.0009772902229849903-1.0764492748506665*^-7*I,-0.0006848562659460787-5.784857720094684*^-9*I,0.009508488110383196+0.03045250049258974*I,-0.0006848562659519837+1.0618365518963035*^-8*I
"OSC-mathematica",35,10.699999999999976,1.0471975511965976,51,0.3235783619616203-0.1026734570912518*I,-0.0010454622513333244-3.3524402220332137*^-7*I,0.0003386331094641336-4.248872827369852*^-8*I,0.00893358660219637+0.030668561691697765*I,0.00033863310950056624-2.587274665831922*^-8*I
"OSC-mathematica",35,10.799999999999976,1.0471975511965976,51,0.3140249589173072-0.10898140514983963*I,-0.002911384186127965-2.966906199131645*^-7*I,0.0012814912482737029-3.0341230615806996*^-8*I,0.008406649577519245+0.030896290121276346*I,0.0012814912482828136-1.355077678324353*^-8*I
"OSC-mathematica",35,10.899999999999975,1.0471975511965976,51,0.30420333890219253-0.1146162917761101*I,-0.004624282144034491-1.494015704743303*^-7*I,0.0021455581252484215-1.1445307160368526*^-8*I,0.0079263633860279+0.031130835058539915*I,0.0021455581252558913+5.611114011733696*^-9*I
"OSC-mathematica",35,10.999999999999975,1.0471975511965976,51,0.294162086731886-0.11958790264265808*I,-0.0061846877925605705-5.852211303777318*^-8*I,0.0029323430792042443-9.215897565382237*^-9*I,0.0074906289499622174+0.03136900015709088*I,0.002932343079159235+7.469550673673203*^-9*I
"OSC-mathematica",35,11.099999999999975,1.0471975511965976,51,0.28394420616496086-0.12390796974895518*I,-0.007597777675066121-9.482326536044425*^-8*I,0.003643850776639479-2.1588667058249862*^-9*I,0.0070972225096433104+0.03161107876017395*I,0.0036438507766408113+1.5483026609345304*^-8*I
"OSC-mathematica",35,11.199999999999974,1.0471975511965976,51,0.273592040745427-0.12758901137579376*I,-0.008866302366739161-1.3508258992603847*^-7*I,0.004282704458197718-2.3066769535846376*^-9*I,0.006746038794753045+0.03185190102620266*I,0.0042827044582229405+1.4585966526746907*^-8*I
