Hamiltonian,method,rtol,atol,a,b,c,omega,phi,localisation
OSC,BDF,0.001,1e-06,20,na,na,4.932203389830509,0.0,0.3348625899175745
OSC,BDF,0.001,1e-06,20,na,na,5.0,0.0,0.3253534243226897
OSC,BDF,0.001,1e-06,10,na,na,1.0,0.0,0.4611846780699594
OSC,BDF,0.001,1e-06,10,na,na,1.0677966101694916,0.0,0.5030080832810344
OSC,BDF,0.001,1e-06,10,na,na,1.1355932203389831,0.0,0.4502282207732549
OSC,BDF,0.001,1e-06,10,na,na,1.2033898305084745,0.0,0.3775829269493992
OSC,BDF,0.001,1e-06,10,na,na,1.2711864406779658,0.0,0.3777075123078283
OSC,BDF,0.001,1e-06,10,na,na,1.3389830508474576,0.0,0.4206723985712173
OSC,BDF,0.001,1e-06,10,na,na,1.4067796610169492,0.0,0.4518694112528722
OSC,BDF,0.001,1e-06,10,na,na,1.4745762711864407,0.0,0.4685950221089134
OSC,BDF,0.001,1e-06,10,na,na,1.542372881355932,0.0,0.4443970179558931
OSC,BDF,0.001,1e-06,10,na,na,1.610169491525424,0.0,0.4178458463950045
OSC,BDF,0.001,1e-06,10,na,na,1.6779661016949152,0.0,0.4126964519992327
OSC,BDF,0.001,1e-06,10,na,na,1.7457627118644068,0.0,0.433258167875204
OSC,BDF,0.001,1e-06,10,na,na,1.8135593220338984,0.0,0.4772436930755022
OSC,BDF,0.001,1e-06,10,na,na,1.8813559322033897,0.0,0.5417284624988317
OSC,BDF,0.001,1e-06,10,na,na,1.9491525423728813,0.0,0.6186228726165127
OSC,BDF,0.001,1e-06,10,na,na,2.016949152542373,0.0,0.6552881249424408
OSC,BDF,0.001,1e-06,10,na,na,2.084745762711864,0.0,0.6706859282689043
OSC,BDF,0.001,1e-06,10,na,na,2.152542372881356,0.0,0.6498099226382951
OSC,BDF,0.001,1e-06,10,na,na,2.220338983050848,0.0,0.5962718453565509
OSC,BDF,0.001,1e-06,10,na,na,2.2881355932203387,0.0,0.5294306431874264
OSC,BDF,0.001,1e-06,10,na,na,2.3559322033898304,0.0,0.4700081413306199
OSC,BDF,0.001,1e-06,10,na,na,2.423728813559322,0.0,0.4069280503780761
OSC,BDF,0.001,1e-06,10,na,na,2.4915254237288136,0.0,0.3579369549864391
OSC,BDF,0.001,1e-06,10,na,na,2.5593220338983054,0.0,0.3231935507356923
OSC,BDF,0.001,1e-06,10,na,na,2.6271186440677967,0.0,0.308407608901026
OSC,BDF,0.001,1e-06,10,na,na,2.694915254237288,0.0,0.2872413730534674
OSC,BDF,0.001,1e-06,10,na,na,2.7627118644067794,0.0,0.2878157150582454
OSC,BDF,0.001,1e-06,10,na,na,2.830508474576272,0.0,0.2872159855504204
OSC,BDF,0.001,1e-06,10,na,na,2.898305084745763,0.0,0.2949154772455076
OSC,BDF,0.001,1e-06,10,na,na,2.9661016949152543,0.0,0.30143979095828044
OSC,BDF,0.001,1e-06,10,na,na,3.0338983050847457,0.0,0.3146905147129224
