form,a,b,c,omega,phi,N,localisation,hopping,onsite,next onsite,NNN,NNN overtop
MG,10.0,0.1,1.0,9.7,1.5707963267948966,51.0,0.9038809565985132,0.9165526197866496,0.2878658737478968,-3.1940784629992187,-0.22574894811843266,-0.02128591673230124
MG,10.0,0.1,1.0,9.8,0.0,51.0,0.9039199194878172,0.9295377659259938,0.18722261169363888,-3.1793742443155466,-0.2392286388538291,-0.02124538780839776
MG,10.0,0.1,1.0,9.8,1.5707963267948966,51.0,0.9039328150719028,0.91669542405375,0.1880230645764267,-3.2892108722009974,-0.22838158627150426,-0.02152787912276273
MG,10.0,0.1,1.0,9.9,0.0,51.0,0.903963447735714,0.9296215839312156,0.0895383325419319,-3.2738719797855818,-0.2413917739430172,-0.02154863967211675
MG,10.0,0.1,1.0,9.9,1.5707963267948966,51.0,0.9039767098270388,0.9168102239054072,0.08817890283672783,-3.3843550345727422,-0.2310100895980728,-0.02176873667808981
MG,10.0,0.1,1.0,10.0,0.0,51.0,0.9040007094567598,0.9226993613456268,-0.03621608061363859,-3.3704066274679065,-0.2437784706055556,-0.02035748863487359
MG,10.0,0.1,1.0,10.0,1.5707963267948966,51.0,0.9040148199855074,0.9168990980992276,-0.011666434690698016,-3.479510363358293,-0.23363147461379805,-0.022008778758886727
MG,10.0,0.1,1.0,10.1,0.0,51.0,0.9040346264407552,0.9286490821177226,-0.1093880417743483,-3.4635162551189085,-0.2462844558800973,-0.02198459393036144
MG,10.0,0.1,1.0,10.1,1.5707963267948966,51.0,0.9040484587604984,0.9169628503228392,-0.11151333170863616,-3.5746762847287217,-0.2362485331106229,-0.0222478729638177
MG,10.0,0.1,1.0,10.2,0.0,51.0,0.9040665415465048,0.927938326857084,-0.21012027065641706,-3.5584065964732035,-0.24854613462367145,-0.02213320158244639
MG,10.0,0.1,1.0,10.2,1.5707963267948966,51.0,0.9040797664608818,0.9170031575089173,-0.21136116292378784,-3.669852207703377,-0.2388602008410953,-0.02248620888572312
MG,10.0,0.1,1.0,10.3,0.0,51.0,0.9040956597422354,0.9275557180899832,-0.30897943797392513,-3.6533431423913836,-0.25110486416553224,-0.02238898328504741
